Date,Close
02/05/2013," 2,852.77 "
03/05/2013," 2,917.39 "
07/05/2013," 2,907.69 "
08/05/2013," 2,970.16 "
09/05/2013," 2,964.77 "
10/05/2013," 2,988.46 "
13/05/2013," 3,019.69 "
14/05/2013," 3,039.08 "
15/05/2013," 3,028.31 "
16/05/2013," 3,022.92 "
17/05/2013," 3,016.46 "
20/05/2013," 3,027.23 "
21/05/2013," 3,074.62 "
22/05/2013," 3,085.39 "
23/05/2013," 3,019.69 "
24/05/2013," 3,001.39 "
28/05/2013," 3,147.85 "
29/05/2013," 3,081.08 "
30/05/2013," 3,106.92 "
31/05/2013," 3,053.08 "
03/06/2013," 2,965.93 "
04/06/2013," 2,940.00 "
05/06/2013," 2,865.33 "
06/06/2013," 2,823.85 "
07/06/2013," 2,889.19 "
10/06/2013," 2,914.07 "
11/06/2013," 2,811.41 "
12/06/2013," 2,801.04 "
13/06/2013," 2,779.26 "
14/06/2013," 2,778.22 "
17/06/2013," 2,782.37 "
18/06/2013," 2,788.59 "
19/06/2013," 2,779.26 "
20/06/2013," 2,721.19 "
21/06/2013," 2,699.41 "
24/06/2013," 2,642.37 "
25/06/2013," 2,730.52 "
26/06/2013," 2,768.89 "
27/06/2013," 2,803.11 "
28/06/2013," 2,786.52 "
01/07/2013," 2,851.85 "
02/07/2013," 2,841.48 "
03/07/2013," 2,839.41 "
04/07/2013," 2,898.52 "
05/07/2013," 2,876.74 "
08/07/2013," 2,903.70 "
09/07/2013," 2,924.44 "
10/07/2013," 2,919.26 "
11/07/2013," 2,938.96 "
12/07/2013," 2,945.19 "
15/07/2013," 2,918.22 "
16/07/2013," 2,905.78 "
17/07/2013," 2,930.67 "
18/07/2013," 2,947.26 "
19/07/2013," 2,936.89 "
22/07/2013," 2,933.78 "
23/07/2013," 2,931.70 "
24/07/2013," 2,935.85 "
25/07/2013," 2,934.81 "
26/07/2013," 2,940.00 "
29/07/2013," 2,930.67 "
30/07/2013," 2,960.74 "
31/07/2013," 2,971.11 "
01/08/2013," 3,017.78 "
02/08/2013," 3,008.44 "
05/08/2013," 3,021.93 "
06/08/2013," 3,016.74 "
07/08/2013," 2,998.07 "
08/08/2013," 3,091.41 "
09/08/2013," 3,074.81 "
12/08/2013," 3,040.59 "
13/08/2013," 3,040.59 "
14/08/2013," 3,091.41 "
15/08/2013," 3,071.70 "
16/08/2013," 3,099.70 "
19/08/2013," 3,127.70 "
20/08/2013," 3,124.59 "
21/08/2013," 3,111.11 "
22/08/2013," 3,132.89 "
23/08/2013," 3,153.63 "
27/08/2013," 3,110.07 "
28/08/2013," 3,085.19 "
29/08/2013," 3,112.15 "
30/08/2013," 3,082.07 "
02/09/2013," 3,131.85 "
03/09/2013," 3,128.74 "
04/09/2013," 3,132.89 "
05/09/2013," 3,173.33 "
06/09/2013," 3,189.93 "
09/09/2013," 3,155.70 "
10/09/2013," 3,204.44 "
11/09/2013," 3,196.15 "
12/09/2013," 3,127.70 "
13/09/2013," 3,124.59 "
16/09/2013," 3,132.89 "
17/09/2013," 3,108.00 "
18/09/2013," 3,111.11 "
19/09/2013," 3,091.41 "
20/09/2013," 3,076.89 "
23/09/2013," 3,088.30 "
24/09/2013," 3,096.59 "
25/09/2013," 3,108.00 "
26/09/2013," 3,131.85 "
27/09/2013," 3,130.81 "
30/09/2013," 3,126.67 "
01/10/2013," 3,137.04 "
02/10/2013," 3,104.89 "
03/10/2013," 3,066.52 "
04/10/2013," 3,064.44 "
07/10/2013," 3,016.74 "
08/10/2013," 2,993.93 "
09/10/2013," 2,916.15 "
10/10/2013," 3,025.04 "
11/10/2013," 3,018.81 "
14/10/2013," 3,007.41 "
